2016-12-14 13:36:13.485 +02:00 [Verbose] Date: 1937/12/30 08:00; Rainfall: 0
2016-12-14 13:36:13.485 +02:00 [Verbose] Date: 1937/12/30 14:00; Rainfall: 0
2016-12-14 13:36:13.485 +02:00 [Verbose] Date: 1937/12/31 08:00; Rainfall: 0
2016-12-14 13:36:13.485 +02:00 [Verbose] Date: 1937/12/31 14:00; Rainfall: 0
2016-12-14 13:36:13.485 +02:00 [Verbose] Date: 1938/01/01 08:00; Rainfall: 0
2016-12-14 13:36:13.485 +02:00 [Verbose] Date: 1938/01/01 14:00; Rainfall: 0
2016-12-14 13:36:13.485 +02:00 [Verbose] Date: 1938/01/02 08:00; Rainfall: 0
2016-12-14 13:36:13.485 +02:00 [Verbose] Date: 1938/01/02 14:00; Rainfall: 0
2016-12-14 13:36:13.485 +02:00 [Verbose] Date: 1938/01/03 08:00; Rainfall: 0
2016-12-14 13:36:13.485 +02:00 [Verbose] Date: 1938/01/03 14:00; Rainfall: 0
2016-12-14 13:36:13.485 +02:00 [Verbose] Date: 1938/01/04 08:00; Rainfall: 0
2016-12-14 13:36:13.485 +02:00 [Verbose] Date: 1938/01/04 14:00; Rainfall: 0
2016-12-14 13:36:13.485 +02:00 [Verbose] Date: 1938/01/05 08:00; Rainfall: 0
2016-12-14 13:36:13.485 +02:00 [Verbose] Date: 1938/01/05 14:00; Rainfall: 0
2016-12-14 13:36:13.485 +02:00 [Verbose] Date: 1938/01/06 08:00; Rainfall: 0
2016-12-14 13:36:13.485 +02:00 [Verbose] Date: 1938/01/06 14:00; Rainfall: 0
2016-12-14 13:36:13.485 +02:00 [Verbose] Date: 1938/01/07 08:00; Rainfall: 0
2016-12-14 13:36:13.485 +02:00 [Verbose] Date: 1938/01/07 14:00; Rainfall: 0
2016-12-14 13:36:13.485 +02:00 [Verbose] Date: 1938/01/08 08:00; Rainfall: 0
2016-12-14 13:36:13.485 +02:00 [Verbose] Date: 1938/01/08 14:00; Rainfall: 0
2016-12-14 13:36:13.485 +02:00 [Verbose] Date: 1938/01/09 08:00; Rainfall: 0
2016-12-14 13:36:13.485 +02:00 [Verbose] Date: 1938/01/09 14:00; Rainfall: 0
2016-12-14 13:36:13.485 +02:00 [Verbose] Date: 1938/01/10 08:00; Rainfall: 0
2016-12-14 13:36:13.485 +02:00 [Verbose] Date: 1938/01/10 14:00; Rainfall: 0
2016-12-14 13:36:13.485 +02:00 [Verbose] Date: 1938/01/11 08:00; Rainfall: 0
2016-12-14 13:36:13.485 +02:00 [Verbose] Date: 1938/01/11 14:00; Rainfall: 0
2016-12-14 13:36:13.486 +02:00 [Verbose] Date: 1938/01/12 08:00; Rainfall: 0
2016-12-14 13:36:13.486 +02:00 [Verbose] Date: 1938/01/12 14:00; Rainfall: 0
2016-12-14 13:36:13.486 +02:00 [Verbose] Date: 1938/01/13 08:00; Rainfall: 0
2016-12-14 13:36:13.486 +02:00 [Verbose] Date: 1938/01/13 14:00; Rainfall: 0
2016-12-14 13:36:13.486 +02:00 [Verbose] Date: 1938/01/14 08:00; Rainfall: 0
2016-12-14 13:36:13.486 +02:00 [Verbose] Date: 1938/01/14 14:00; Rainfall: 0
2016-12-14 13:36:13.486 +02:00 [Verbose] Date: 1938/01/15 08:00; Rainfall: 0
2016-12-14 13:36:13.486 +02:00 [Verbose] Date: 1938/01/15 14:00; Rainfall: 0
2016-12-14 13:36:13.486 +02:00 [Verbose] Date: 1938/01/16 08:00; Rainfall: 0
2016-12-14 13:36:13.486 +02:00 [Verbose] Date: 1938/01/16 14:00; Rainfall: 0
2016-12-14 13:36:13.486 +02:00 [Verbose] Date: 1938/01/17 08:00; Rainfall: 0
